Status Id;Control Sense Id;Id status main;Id status type;Id status detail;Id equipment;Equipo;Id employee;Inicio de estado;Duración HR numérico;Fin de estado;Date cube;Duración Hr.;Hour;Id type status;Id detail status;Main status;Type status;Detail status
389187;389187;5;17;2409;85;Acarreo en Mina;138;2025-01-11 02:08:24.924818;1.08;2025-01-11 03:13:16.122454;2025-01-10;1.08088823222222;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
389188;389188;5;17;2409;88;Acarreo en Mina;128;2025-01-11 02:10:01.66737;2.18;2025-01-11 04:20:39.136873;2025-01-10;2.17707486194444;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
389192;389192;5;17;2409;86;Acarreo en Mina;139;2025-01-11 02:21:22.892714;2.14;2025-01-11 04:29:35.237427;2025-01-10;2.13676242027778;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
389193;389193;5;17;2409;89;Acarreo en Mina;137;2025-01-11 02:21:35.742519;0.06;2025-01-11 02:25:05;2025-01-10;0.0581270780555556;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
389209;389209;5;17;2409;85;Acarreo en Mina;138;2025-01-11 03:36:11.519248;0.73;2025-01-11 04:20:06.426031;2025-01-10;0.731918550833333;3;17;2409;OUTOFPLAN;Programado;Fuera de plan
389214;389214;5;17;2409;89;Acarreo en Mina;137;2025-01-11 03:39:45.003741;0.62;2025-01-11 04:17:14.528;2025-01-10;0.624867849722222;3;17;2409;OUTOFPLAN;Programado;Fuera de plan
389476;389476;5;17;2409;89;Acarreo en Mina;145;2025-01-11 17:20:17.77282;0.57;2025-01-11 17:54:30.924;2025-01-11;0.570319772222222;17;17;2409;OUTOFPLAN;Programado;Fuera de plan
389549;389549;5;17;2409;88;Acarreo en Mina;145;2025-01-11 19:37:31.892886;1.52;2025-01-11 21:08:33.680626;2025-01-11;1.51716326111111;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
389565;389565;5;17;2409;88;Acarreo en Mina;140;2025-01-11 21:12:54.103174;3.24;2025-01-12 00:27:11.86416;2025-01-11;3.23826694055556;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
389566;389566;5;17;2409;89;Acarreo en Mina;137;2025-01-11 21:13:56.926664;2.50;2025-01-11 23:44:04.073372;2025-01-11;2.50198519666667;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
389568;389568;5;17;2409;87;Acarreo en Mina;128;2025-01-11 21:16:12.539315;2.44;2025-01-11 23:42:26.371534;2025-01-11;2.43717561638889;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
389571;389571;5;17;2409;86;Acarreo en Mina;139;2025-01-11 21:17:57.370834;2.41;2025-01-11 23:42:22.733873;2025-01-11;2.40704528861111;21;17;2409;OUTOFPLAN;Programado;Fuera de plan
389589;389589;5;17;2409;85;Acarreo en Mina;138;2025-01-11 22:45:15.715019;1.25;2025-01-12 00:00:04;2025-01-11;1.24674582805556;22;17;2409;OUTOFPLAN;Programado;Fuera de plan
390006;390006;5;17;2409;87;Acarreo en Mina;140;2025-01-13 00:50:40.649569;1.10;2025-01-13 01:56:40.721625;2025-01-12;1.10002001555556;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
390037;390037;5;17;2409;85;Acarreo en Mina;138;2025-01-13 02:22:17.198804;0.75;2025-01-13 03:07:02.289768;2025-01-12;0.745858601111111;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
390038;390038;5;17;2409;88;Acarreo en Mina;128;2025-01-13 02:22:21.053979;0.57;2025-01-13 02:56:45.402068;2025-01-12;0.573430024722222;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
390228;390228;5;17;2409;89;Acarreo en Mina;145;2025-01-13 18:44:00.189747;0.76;2025-01-13 19:29:43.554359;2025-01-13;0.762045725555555;18;17;2409;OUTOFPLAN;Programado;Fuera de plan
390296;390296;5;17;2409;87;Acarreo en Mina;140;2025-01-13 22:29:10.606369;1.61;2025-01-14 00:05:39;2025-01-13;1.60788711972222;22;17;2409;OUTOFPLAN;Programado;Fuera de plan
390319;390319;5;17;2409;89;Acarreo en Mina;131;2025-01-13 23:49:04.02017;1.10;2025-01-14 00:54:52.024322;2025-01-13;1.09666782;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
390329;390329;5;17;2409;87;Acarreo en Mina;140;2025-01-14 00:12:43.175443;0.10;2025-01-14 00:18:48;2025-01-13;0.101340154722222;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
390331;390331;5;17;2409;88;Acarreo en Mina;137;2025-01-14 00:16:05.025245;0.48;2025-01-14 00:45:06.226882;2025-01-13;0.483667121388889;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
